Q1,Q2,T1,T2,S1,S2,TB1,TB2,TB3,TB4,TB5
70,76.66,18.0,9.0,5.0,5.0,0,0,1,1,1
95,86.66,7.0,15.0,99.0,0.0,1,1,1,0,1
100,83.33,14.0,9.0,3.0,5.0,1,0,1,1,1
45,56.66,22.0,10.0,1.0,0.0,0,1,0,1,1
70,50.0,8.0,17.0,1.0,5.0,0,1,0,0,1
100,90.0,11.0,6.0,3.0,3.0,1,1,1,1,1
95,93.33,10.0,9.0,4.0,5.0,1,1,1,0,1
95,63.33,12.0,3.0,5.0,5.0,1,0,0,0,1
45,56.66,14.0,9.0,1.0,0.0,0,1,1,1,1
75,73.33,32.0,20.0,3.0,2.0,0,0,1,0,1
95,56.66,10.0,9.0,4.0,4.0,1,1,0,0,1
95,56.66,9.0,9.0,4.0,5.0,1,0,1,1,1
75,80.0,29.0,17.0,99.0,99.0,0,0,1,0,1
40,53.33,8.0,3.0,99.0,5.0,0,1,0,1,1
95,80.0,14.0,8.0,5.0,5.0,1,0,1,0,1
70,80.0,14.0,9.0,5.0,6.0,0,1,0,0,1
100,90.0,14.0,9.0,4.0,6.0,1,1,1,0,1
75,63.33,30.0,18.0,3.0,4.0,0,0,1,1,1
95,96.66,11.0,6.0,5.0,4.0,1,1,1,1,1
95,90.0,10.0,5.0,3.0,5.0,1,0,1,0,1
95,56.66,15.0,4.0,4.0,5.0,1,1,1,1,1
95,93.33,10.0,22.0,5.0,5.0,1,0,1,1,0
70,73.33,11.0,5.0,1.0,5.0,0,1,1,1,1
25,50.0,11.0,4.0,2.0,3.0,0,1,0,1,1
70,100.0,14.0,9.0,5.0,3.0,0,1,1,1,1
95,100.0,7.0,9.0,4.0,3.0,1,1,1,0,0
0,40.0,99.0,20.0,4.0,4.0,0,1,0,0,1
65,23.33,8.0,9.0,5.0,3.0,0,1,1,1,1
70,83.33,7.0,5.0,1.0,4.0,0,1,1,1,1
15,10.0,32.0,20.0,3.0,5.0,0,0,0,1,1
50,53.33,32.0,20.0,99.0,99.0,0,1,0,0,0
0,66.66,99.0,17.0,3.0,0.0,0,0,1,1,1
0,0.0,99.0,99.0,2.0,99.0,0,0,0,0,0
0,0.0,99.0,99.0,3.0,99.0,0,0,0,0,0
0,83.33,99.0,9.0,5.0,99.0,0,0,0,1,0
