Q1,Q2,T1,T2,S1,S2,TB1,TB2,TB3,TB4,TB5
100,50.0,8.0,26.0,4.0,5.0,1,0,0,1,1
75,86.0,8.0,6.0,5.0,4.0,0,1,1,0,1
100,80.0,7.0,0.0,4.0,3.0,1,0,1,1,1
100,100.0,5.0,25.0,5.0,5.0,1,1,1,1,1
100,100.0,9.0,16.0,5.0,5.0,1,1,1,1,1
100,86.0,8.0,0.0,4.0,5.0,1,1,1,0,1
100,93.0,8.0,3.0,5.0,4.0,1,1,1,1,1
95,83.0,10.0,6.0,5.0,4.0,1,1,1,1,0
100,96.0,9.0,0.0,5.0,4.0,1,1,1,1,1
75,76.0,8.0,6.0,4.0,5.0,1,1,1,0,1
90,90.0,6.0,6.0,4.0,4.0,0,1,1,1,1
100,90.0,8.0,3.0,5.0,4.0,1,1,1,1,1
75,86.0,6.0,0.0,5.0,5.0,0,1,1,1,1
100,80.0,8.0,1.0,5.0,5.0,1,0,1,0,1
100,100.0,7.0,6.0,5.0,4.0,1,1,1,1,1
100,100.0,7.0,24.0,3.0,5.0,1,1,1,1,1
50,50.0,8.0,0.0,5.0,4.0,0,0,1,0,0
90,93.0,8.0,6.0,4.0,4.0,1,1,1,1,1
100,83.0,7.0,5.0,3.0,3.0,1,0,1,1,1
75,96.0,6.0,28.0,4.0,4.0,0,1,1,1,1
75,63.0,6.0,6.0,4.0,5.0,0,0,1,1,1
90,100.0,10.0,6.0,4.0,5.0,1,1,1,1,1
100,90.0,4.0,0.0,1.0,5.0,1,1,1,1,1
0,23.0,28.0,16.0,99.0,4.0,0,0,0,1,0
75,80.0,9.0,1.0,5.0,3.0,0,0,1,1,1
75,90.0,8.0,24.0,5.0,5.0,1,1,1,1,1
90,96.0,8.0,6.0,4.0,3.0,1,1,1,1,1
50,80.0,8.0,2.0,5.0,3.0,0,0,1,1,1
50,46.0,8.0,3.0,4.0,4.0,0,0,0,0,1
75,96.0,7.0,6.0,3.0,4.0,0,1,1,1,1
60,93.0,9.0,0.0,5.0,5.0,0,1,1,1,1
100,96.0,5.0,0.0,4.0,4.0,1,1,1,1,1
40,86.0,10.0,1.0,5.0,4.0,0,1,1,0,1
90,93.0,8.0,2.0,5.0,5.0,1,1,1,1,1
75,83.0,7.0,6.0,3.0,4.0,0,0,1,1,1
0,90.0,6.0,1.0,2.0,4.0,0,1,1,1,1
100,100.0,8.0,29.0,5.0,5.0,1,1,1,1,1
50,86.0,39.0,27.0,4.0,5.0,0,1,1,1,1
75,93.0,8.0,4.0,4.0,5.0,0,1,1,1,1
100,90.0,7.0,3.0,3.0,4.0,1,1,1,1,1
70,100.0,7.0,0.0,3.0,5.0,0,1,1,1,1
100,90.0,5.0,4.0,4.0,5.0,1,1,1,1,1
100,83.0,8.0,1.0,4.0,4.0,1,1,1,0,1
100,93.0,11.0,5.0,4.0,4.0,1,1,1,1,1
0,0.0,99.0,99.0,99.0,99.0,0,0,0,0,0
